월,이벤트명,목표,예산(원),자동화 방식,기대효과
1월,AI가 뽑은 숨은 명소 투표 이벤트,지역 숨은 관광지 데이터 확보 및 방문 유도,300000,GPT+지도 기반 장소 추천 → 투표폼 생성 → SNS 확산,방문객 유입 증가 및 지역 지도 콘텐츠 확보
2월,로컬 뉴스 요약 공유 챌린지,정보성 콘텐츠 확산 및 지역 인식 제고,200000,뉴스 API → 요약 → 카드뉴스 생성 → 해시태그 추적,지역 정보의 유기적 확산 및 SEO 향상
3월,AI 엽서 사진 생성 & 감상 공유,이미지 공유를 통한 감성 마케팅,400000,Fal 이미지 생성 → 사용자 감상 공유 → 자동 수집,공감형 콘텐츠로 브랜드 이미지 강화
4월,지역 특산물 밈 챌린지,Z세대 타겟의 바이럴 유도,250000,지역 키워드 기반 밈 생성 → 공유 수 추적,짧은 시간에 확산 가능한 콘텐츠 확보
5월,동네 산책 챌린지 (걸음 인증),지역 건강·힐링 이미지 브랜딩,200000,걸음 수 측정 앱 연동 → 참여자 추첨 자동화,시민 건강 이미지 및 걷기 문화 형성
6월,AI 시 콘테스트 (풍경 기반),문화 감성 브랜딩 및 SNS 확산,300000,GPT 기반 시 생성 → 댓글 분석 → 베스트 선정,SNS 내 콘텐츠 다양성 및 감성 인식 증대
7월,지역 카페 소개 릴레이,로컬 상권 소비 유도,300000,카페 데이터 → 추천 리스트 → 후기 추적,소상공인 매출 향상 기여
8월,감성 색깔 사진 챌린지,색채 기반 스토리텔링 콘텐츠 양산,250000,감성 색 생성 → 해시태그 챌린지 자동 추적,콘텐츠 큐레이션 및 지역 감성 인식 강화
9월,AI가 묻습니다 – 지역 토론 댓글,지역 문제/이슈에 대한 시민 목소리 수집,300000,이슈 키워드 → 질문 생성 → 댓글 수집 및 분석,실제 시민 의견을 바탕으로 정책 인사이트 확보
10월,추억 사진 재구성 챌린지,로컬 향수·정서 자극 콘텐츠 제작,250000,GPT가 만든 옛사진+현재사진 → SNS 공유 분석,정서적 콘텐츠로 충성도 강화
11월,로컬 굿즈 리뷰 공유,소비자 후기 마케팅 자산화,200000,리뷰 콘텐츠 자동 분석 및 리워드 지급,자연스러운 입소문 형성 및 콘텐츠 자산 축적
12월,올해의 로컬 베스트 총결산,총 데이터 분석 및 마케팅 성과 리포트,400000,전체 활동 데이터 자동 요약 리포트 생성,데이터 기반 다음 해 마케팅 전략 설계 자료 확보
